transactID,account,currency,transactType,amount,fee,transactStatus,address,tx,text,timestamp,walletBalance,marginBalance
5dc7e87a-74d7-4201-0143-67e97d71f4ab,1501242,XBt,RealisedPNL,-9978654,0,Completed,ADAUSD,835ecfdb-9771-1afd-25e3-a8ebc238aeb6,"",2021-11-20T12:00:00.015Z,6182431591,
52f55d42-3e22-0f96-c1ea-9621b72b2c7b,1501242,XBt,RealisedPNL,-221452,0,Completed,XRPUSD,835ecfdb-9771-1afd-25e3-a8ebc238aeb6,"",2021-11-20T12:00:00.015Z,6182431591,
3008665f-1fd0-69be-ef85-e15ed96db2e5,1501242,XBt,RealisedPNL,-5882039,0,Completed,XBTUSD,835ecfdb-9771-1afd-25e3-a8ebc238aeb6,"",2021-11-20T12:00:00.015Z,6182431591,
2fe98153-49e6-2a00-db2c-55e0b025f4d2,1501242,XBt,RealisedPNL,388031,0,Completed,LTCUSD,835ecfdb-9771-1afd-25e3-a8ebc238aeb6,"",2021-11-20T12:00:00.015Z,6182431591,
1f50ee52-aa9d-110d-21d7-c11a9d6b8890,1501242,XBt,RealisedPNL,-3643071,0,Completed,ETHUSD,835ecfdb-9771-1afd-25e3-a8ebc238aeb6,"",2021-11-20T12:00:00.015Z,6182431591,
034325b6-32fd-3ed3-07de-2debba919e3c,1501242,XBt,RealisedPNL,-238612,0,Completed,TRXZ21,835ecfdb-9771-1afd-25e3-a8ebc238aeb6,"",2021-11-20T12:00:00.015Z,6182431591,
ff973cc0-7951-610d-8fb5-3a7910ed5660,1501242,XBt,RealisedPNL,-34601626,0,Completed,XBTUSD,fa8d7a2d-0ad1-d269-1e36-c9a0ca56223e,"",2021-11-19T12:00:00.005Z,6192607644,
f9206764-d59a-b136-9ea9-3c37e65f7686,1501242,XBt,RealisedPNL,-79412,0,Completed,XRPUSD,fa8d7a2d-0ad1-d269-1e36-c9a0ca56223e,"",2021-11-19T12:00:00.005Z,6192607644,
f61a910f-7cd6-bf52-27f6-1f6918d164bc,1501242,XBt,RealisedPNL,-1069556,0,Completed,LTCUSD,fa8d7a2d-0ad1-d269-1e36-c9a0ca56223e,"",2021-11-19T12:00:00.005Z,6192607644,
7f86a6c7-97fa-e251-20be-5126d36e6a75,1501242,XBt,RealisedPNL,-768426,0,Completed,TRXZ21,fa8d7a2d-0ad1-d269-1e36-c9a0ca56223e,"",2021-11-19T12:00:00.005Z,6192607644,
691dc2d8-02f3-cd5b-b384-5b71aeac1ce2,1501242,XBt,RealisedPNL,-11470816,0,Completed,ETHUSD,fa8d7a2d-0ad1-d269-1e36-c9a0ca56223e,"",2021-11-19T12:00:00.005Z,6192607644,
642b865d-5a06-a5c8-0ba4-6e502e474d4e,1501242,XBt,RealisedPNL,10406648,0,Completed,ETHZ21,fa8d7a2d-0ad1-d269-1e36-c9a0ca56223e,"",2021-11-19T12:00:00.005Z,6192607644,
29413ffd-45bb-98ba-7575-3397ffe52d1d,1501242,XBt,RealisedPNL,-23848991,0,Completed,ADAUSD,fa8d7a2d-0ad1-d269-1e36-c9a0ca56223e,"",2021-11-19T12:00:00.005Z,6192607644,
